"COL 1","COL 2","COL 3"
"id_rubro","nombre","descripcion"
"1","Electrónica","Dispositivos electrónicos y accesorios"
"2","Alimentos","Productos comestibles y bebidas"
"3","Ropa","Prendas de vestir y accesorios"
"4","Hogar","Artículos para el hogar y decoración"
"5","Juguetería","Juguetes y entretenimiento infantil"
"6","Librería","Artículos escolares y de oficina"
"7","Deportes","Equipamiento deportivo"
"8","Perfumería","Fragancias y cosméticos"
"9","Ferretería","Herramientas y materiales"
"10","Mascotas","Productos para animales"
